x_coord_m,y_coord_m
-2461057.319,-1526097.233
-2478741.581,-1524928.937
-2488524.471,-1521545.421
-2496045.128,-1518944.322
-2500394.25,-1522166.373
-2500738.385,-1524051.49
-2505283.41,-1528997.353
-2509388.753,-1527972.599
-2511439.278,-1528237.182
-2514151.263,-1530419.999
-2515738.766,-1532602.816
-2518353.172,-1534168.704
-2521795.294,-1534586.21
-2527745.396,-1530485.652
-2550294.943,-1535979.721
-2558204.668,-1548277.205
-2564737.528,-1558434.038
-2592348.371,-1539915.979
-2610509.377,-1524624.258
-2628344.433,-1529545.193
-2631908.39,-1534075.183
-2639157.32,-1543288.981
-2651716.768,-1570138.459
-2664963.612,-1570157.357
-2678943.287,-1575141.13
-2686760.018,-1577927.805
-2693632.398,-1577549.771
-2700477.622,-1578011.879
-2706368.77,-1580279.525
-2711462.339,-1583245.049
-2714872.517,-1586911.724
-2716991.533,-1591022.319
-2732016.708,-1598891.083
-2737575.014,-1601690.748
-2741375.203,-1604955.903
-2743140.607,-1608797.746
-2743818.683,-1612977.308
-2743708.963,-1617362.484
-2743110.572,-1621820.771
-2742328.235,-1626219.318
-2740513.928,-1632666.586
-2735233.091,-1651432.412
-2744993.211,-1667149.136
-2776223.471,-1672539.45
-2788872.733,-1665078.752
-2815288.254,-1674896.844
-2832548.279,-1667630.752
-2845323.595,-1671038.803
-2849461.314,-1674643.102
-2850725.42,-1678813.045
-2851485.018,-1683111.697
-2852042.251,-1687472.612
-2852705.055,-1691828.779
-2888508.656,-1677743.228
-2913986.899,-1682937.739
-2920530.623,-1680247.06
-2927653.368,-1679275.377
-2935258.615,-1678998.625
-2943088.044,-1678991.347
-2950997.103,-1678862.743
-2953806.042,-1674988.985
-2962874.901,-1677116.6
-2964794.826,-1681377.677
-2970140.718,-1684301.342
-2976725.88,-1686732.966
-2980819.803,-1689879.012
-2988350.063,-1690930.03
-2996163.083,-1691073.625
-3003953.931,-1690263.768
-3010727.176,-1688425.994
-3015238.321,-1684796.482
-3016505.658,-1680640.481
-3016454.508,-1676057.682
-3017997.964,-1671689.082
-3020239.341,-1667752.218
-3025445.532,-1669000.8
-3026897.477,-1673127.658
-3029070.537,-1681846.04
-3036219.384,-1683035.868
-3043847.181,-1682420.205
-3051255.328,-1681298.659
-3057624.647,-1678912.756
-3062352.245,-1676239.738
-3069546.547,-1674738.14
-3075042.691,-1671749.301
-3082517.788,-1670953.521
-3088270.028,-1668377.156
-3095732.316,-1667595.023
-3102027.292,-1665221.904
-3109678.574,-1664909.816
-3114123.628,-1661301.358
-3124761.076,-1660311.06
-3131917.648,-1658649.335
-3138443.632,-1658211.74
-3145148.808,-1658897.716
-3152553.811,-1659341.98
-3159763.164,-1660770.26
-3167094.077,-1661011.55
-3174598.183,-1660440.546
-3181953.37,-1659389.954
-3188766.752,-1657765.448
-3194333.603,-1654810.433
-3198515.658,-1651248.498
-3201720.972,-1647389.209
-3203872.386,-1643790.83
-3204794.326,-1639875.256
-3207922.718,-1635981.851
-3210686.53,-1632018.182
-3212144.99,-1627836.703
-3212558.03,-1623548.404
-3252993.842,-1600376.168
-3306976.188,-1591492.997
-3401274.465,-1568943.409
-3509922.479,-1519744.308
-3548188.446,-1497194.721
-3581274.264,-1480812.275
-3603087.535,-1460334.511
-3608908.38,-1440755.305
-3602558.367,-1409534.409
-3598176.084,-1388339.604
-3610494.945,-1383035.008
-3632043.01,-1386367.321
-3653137.157,-1384362.718
-3659797.898,-1369849.852
-3663560.808,-1361650.975
-3680617.693,-1357612.088
-3699569.787,-1362995.343
-3715679.067,-1360305.797
-3726102.719,-1357612.088
-3745054.813,-1365680.608
-3761164.092,-1359632.688
-3745054.813,-1348829.162
-3714371.994,-1333599.888
-3684408.112,-1315331.706
-3651241.947,-1290326.717
-3620918.597,-1270647.725
-3606704.526,-1252906.973
-3614285.364,-1237162.646
-3632289.853,-1219846.073
-3645556.319,-1155847.59
-3641765.9,-1133337.467
-3671141.877,-1098387.025
-3709046.065,-1076857.59
-3739369.184,-1042639.367
-3774430.558,-990441.6397
-3785227.418,-971550.7241
-3782011.627,-966376.1009
-3783693.582,-941192.3091
-3778220.977,-918442.5952
-3783693.582,-882454.6916
-3778931.072,-859435.8956
-3759881.034,-833242.0932
-3745593.506,-809429.5456
-3723368.461,-788792.0043
-3674932.065,-719166.8327
-3674932.065,-705250.2189
-3670194.041,-691285.7738
-3670194.041,-676397.0323
-3674932.065,-661455.9482
-3674867.791,-658274.4287
-3677027.464,-658280.3841
-3674248.202,-653769.5472
-3669485.692,-652340.7944
-3665040.683,-652737.6702
-3660913.175,-653134.5459
-3657500.043,-651150.167
-3657103.167,-648451.4116
-3660198.799,-646070.1568
-3667580.688,-643371.4014
-3675359.454,-641783.8982
-3679208.476,-637500.0586
-3678680.824,-611381.4129
-3691947.058,-588197.313
-3670152.381,-537895.2005
-3656885.915,-505307.4079
-3679628.428,-450590.7263
-3724165.849,-402794.7865
-3738379.92,-369520.1193
-3736484.71,-347259.4771
-3719427.826,-331456.3006
-3711847.219,-303501.239
-3736484.71,-267978.0639
-3745013.153,-244544.8592
-3763017.642,-225765.7998
-3784812.55,-197548.0271
-3799974.225,-177763.9448
-3822716.738,-143795.8675
-3791445.783,-131515.3814
-3765534.013,-148475.338
-3741203.519,-138846.956
-3726208.328,-132912.8626
-3705041.619,-105396.141
-3687049.916,-76821.0838
-3669204.777,-44454.4237
-3677733.219,-32138.2448
-3681943.843,-25822.5821
-3694790.103,-6554.0285
-3670152.381,20926.7655
-3646462.264,22821.8808
-3633195.798,48402.3423
-3613768.715,59115.458
-3605715.262,63556.5564
-3588658.377,84385.4674
-3586763.168,123168.3617
-3580702.898,135252.8907
-3575391.911,145843.3063
-3555492.212,156227.9179
-3557387.422,181692.9579
-3554544.608,207118.8999
-3545068.561,224045.1446
-3518535.629,240011.4654
-3492002.697,255020.0022
-3464522.161,261580.3025
-3450308.091,268136.8142
-3436094.02,287782.9837
-3419037.136,293389.4906
-3408923.03,325871.8861
-3404823.065,321374.5699
-3362180.853,317647.9165
-3358249.245,309278.4501
-3358090.495,301499.6845
-3359995.499,295308.4221
-3363329.256,290069.6616
-3369520.518,283402.1483
-3376664.282,276893.3853
-3386824.303,270543.3726
-3397619.324,263082.1077
-3401746.832,257208.3459
-3405715.59,250223.332
-3401111.831,245302.0721
-3393174.315,248794.5791
-3383649.296,255144.5918
-3369044.267,263717.1089
-3354915.489,268003.3675
-3338722.956,272289.6261
-3330467.94,276575.8847
-3329356.688,287688.4069
-3329515.438,297213.4259
-3325705.43,306738.445
-3326181.681,315945.9634
-3332531.694,326740.985
-3340908.225,339835.7257
-3331857.734,349275.5824
-3272158.407,365972.9511
-3245625.475,356700.7802
-3223830.567,347418.2276
-3184978.774,344631.5445
-3161288.657,340914.492
-3134755.725,334405.9273
-3112960.817,308324.8778
-3092113.514,288717.6328
-3043785.674,281238.2707
-3018200.347,301793.4095
