Diam_km,x_coord,y_coord,Shape_Le_1,Shape_Area
2.492398428,-108.9796217,-41.33974015,9175.866178,6498176.939
0.8437845,-108.8765268,-41.30216346,3105.34183,744336.361
0.963850992,-109.3337304,-41.39357054,3550.236232,972603.1509
1.016909832,-109.2696737,-41.62179719,3753.694048,1086454.871
0.955695782,-109.0619341,-41.9799815,3539.755631,964969.7752
0.849081553,-109.1150533,-41.92055725,3143.086405,760971.3792
1.481585222,-109.2723418,-42.03476989,5490.454303,2321141.828
1.35003228,-109.3451179,-42.1830845,5010.093845,1931758.452
1.757811554,-109.3266112,-42.70295434,6556.619186,3302271.958
0.870438934,-109.0523218,-42.69063149,3246.332992,809577.8752
1.181739292,-108.8931044,-42.55941548,4401.646391,1489052.399
1.046066296,-109.1872531,-42.46888799,3892.847123,1165080.582
0.874740131,-109.5313972,-42.2159141,3247.271187,811424.7368
0.829154392,-109.8955589,-41.82359766,3066.487424,724571.9836
0.808898199,-110.4007996,-41.96026015,2995.473866,691078.9294
1.030624319,-110.3531101,-42.7299415,3845.244246,1135684.865
0.834600649,-110.4402295,-42.6720926,3112.103098,744063.2631
1.046274612,-110.219605,-42.63333407,3899.913295,1168619.575
1.159392351,-110.1388801,-42.71896034,4325.206009,1436948.021
0.812874502,-110.0266781,-42.45590927,3024.659678,703387.2779
1.07351725,-109.9153499,-42.22616673,3985.580761,1222302.551
0.911125399,-109.9158242,-42.17911798,3381.140524,879819.4805
0.989168455,-109.0565809,-42.26113396,3673.668036,1038345.484
1.085509106,-108.3849884,-41.37470604,3997.647037,1233266.166
1.317123014,-108.4536501,-41.47992187,4855.389911,1818638.353
1.396775412,-107.1929518,-41.74861033,5162.063238,2053789.567
1.975549618,-107.7375819,-41.70602553,7298.097093,4105733.926
1.143830427,-107.4422479,-41.81274835,4229.827476,1378670.395
0.940562607,-107.2680783,-41.84230812,3479.13088,932637.9911
1.257343447,-107.1806267,-42.07134061,4661.096332,1672654.732
1.232571369,-107.2692635,-42.26297151,4577.722482,1612271.466
0.974232786,-107.4275718,-42.16673436,3614.896689,1005721.465
1.070286509,-107.3400884,-42.57497167,3987.125395,1221729.409
0.86501627,-108.0427645,-42.46258943,3218.886478,796603.8457
0.903560469,-107.7453364,-42.64579475,3368.370231,871732.4204
1.579794539,-108.710409,-42.85109964,5901.280242,2673673.799
0.934873011,-108.4421497,-42.74094235,3488.377329,934629.2171
1.062338402,-108.2414971,-42.82004781,3967.111774,1208411.197
1.302478912,-108.77257,-42.46011547,4846.649176,1806001.455
1.176295166,-108.2676436,-42.08173623,4361.078129,1464206.139
0.989502834,-108.1892767,-41.91364504,3662.64903,1033371.691
0.838336128,-108.27576,-42.01446442,3106.098624,742926.8319
