x_coord_m,y_coord_m,area_sqm,Radius_m,Diameter_m
-3215863.494,-1280419.095,1748413.61,746.0143009,1492.028602
-3227190.715,-1271208.609,712082.5203,476.0912791,952.1825581
-3236895.409,-1294604.658,1939120.001,785.6469097,1571.293819
-3225434.131,-1299025.973,1636726.955,721.793856,1443.587712
-3228127.259,-1276051.716,1505249.62,692.1963848,1384.39277
-3247486.551,-1271428.599,1709518.229,737.6696773,1475.339355
-3244037.898,-1287166.02,910436.4392,538.3316072,1076.663214
-3247241.731,-1287407.581,1204265.233,619.1361153,1238.272231
-3193674.184,-1250257.704,1437852.121,676.5223906,1353.044781
-3180480.245,-1250926.774,838817.4041,516.7241744,1033.448349
-3178416.358,-1250583.316,1058540.794,580.4687758,1160.937552
-3173390.5,-1268585.145,1679506.355,731.1658339,1462.331668
-3168605.624,-1272004.558,11502672.61,1913.482273,3826.964546
-3192882.887,-1257316.819,705694.7974,473.9510847,947.9021693
-3190899.169,-1256233.844,971834.9574,556.1876254,1112.375251
-3181457.53,-1268578.359,1061167.919,581.1886436,1162.377287
-3187212.736,-1266870.536,859436.7231,523.0365241,1046.073048
-3178990.903,-1275824.7,793528.0311,502.5811549,1005.16231
-3180725.668,-1275564.401,736856.6609,484.3023434,968.6046869
-3161088.376,-1285804.695,782591.5998,499.1058435,998.2116871
-3173030.609,-1299860.148,5799690.804,1358.712228,2717.424457
-3173032.131,-1292986.688,2353499.489,865.5299847,1731.059969
-3176192.256,-1290334.567,823037.2446,511.8406897,1023.681379
-3197887.128,-1284935.124,793599.4402,502.6037679,1005.207536
-3174152.171,-1288761.184,751350.9784,489.0423749,978.0847497
-3184334.49,-1279300.027,1116575.024,596.1684903,1192.336981
-3106251.851,-1291402.339,3595524.871,1069.808914,2139.617828
-3114584.693,-1287464.913,915938.4079,539.9557856,1079.911571
-3112168.115,-1296541.277,1284482.881,639.4244284,1278.848857
-3125679.3,-1294537.357,1111782.73,594.8877492,1189.775498
-3129675.039,-1285144.364,779474.2853,498.110802,996.221604
-3137492.272,-1273989.709,2142954.551,825.9077546,1651.815509
-3140654.862,-1264795.274,1104043.248,592.8135295,1185.627059
-3141118.616,-1260371.222,2535752.759,898.4181499,1796.8363
-3108446.464,-1262389.378,698335.4997,471.4733221,942.9466441
-3102461.406,-1264203.686,1803497.599,757.6748085,1515.349617
-3115161.715,-1271998.847,1000206.285,564.2477726,1128.495545
-3143213.887,-1278180.755,739006.8515,485.0084399,970.0168798
-3134313.1,-1294454.632,1227719.843,625.1362759,1250.272552
-3126543.331,-1267753.923,722619.7035,479.6008711,959.2017423
-3308205.171,-1341089.854,1284048.474,639.316294,1278.632588
-3313894.478,-1343496.037,3453479.485,1048.463954,2096.927907
-3304753.387,-1336789.479,1033101.75,573.4513934,1146.902787
-3300586.62,-1338493.368,890103.8388,532.2864376,1064.572875
-3323495.141,-1347698.632,787826.9612,500.7725136,1001.545027
-3344142.373,-1345148.906,1943907.862,786.616228,1573.232456
-3346407.249,-1334954.013,1766507.183,749.8644547,1499.728909
-3343148.449,-1329233.148,1116912.556,596.2585919,1192.517184
-3348086.425,-1330542.517,1782982.058,753.3530487,1506.706097
-3348126.338,-1303010.345,880661.7589,529.4557057,1058.911411
-3340907.262,-1311450.064,1534499.523,698.8893821,1397.778764
-3332434.174,-1313094.838,2966351.461,971.7093165,1943.418633
-3331292.745,-1303020.657,1065778.583,582.4498773,1164.899755
-3329779.654,-1305656.3,897449.7345,534.4783652,1068.95673
-3315255.642,-1307225.719,997653.2605,563.5271917,1127.054383
-3317882.175,-1308792.607,1115887.042,595.9847963,1191.969593
-3313334.148,-1314944.448,1656875.561,726.2230175,1452.446035
-3309346.595,-1313543.37,720192.297,478.7946617,957.5893234
-3302375.438,-1300320.773,745202.1954,487.0371916,974.0743832
-3319298.241,-1326733.14,1784996.673,753.7785404,1507.557081
-3290808.641,-1312745.652,1977718.666,793.4276296,1586.855259
-3284709.956,-1306244.296,739082.3337,485.0332087,970.0664174
-3276031.971,-1300134.799,1314721.089,646.9070414,1293.814083
-3274546.934,-1298974.562,856032.1718,521.9995241,1043.999048
-3264899.059,-1344890.75,4781923.721,1233.747784,2467.495569
-3253309.698,-1347839.772,5121997.423,1276.864291,2553.728581
-3278142.351,-1345999.687,783044.3889,499.2502081,998.5004162
-3294849.303,-1341579.576,2597584.005,909.3055971,1818.611194
-3290014.455,-1338077.309,791790.55,502.0306364,1004.061273
-3291983.613,-1315565.752,833629.0199,515.1236341,1030.247268
-3298589.57,-1326490.759,1089305.221,588.8434605,1177.686921
-3286904.025,-1332211.984,699512.9696,471.8706324,943.7412648
-3226070.556,-1341018.174,9738392.802,1760.632473,3521.264946
-3211209.657,-1308861.785,1635731.223,721.5742646,1443.148529
-3207788.272,-1314586.587,1184788.116,614.1089238,1228.217848
-3201182.772,-1324016.597,3174573.416,1005.235347,2010.470694
-3205752.059,-1340773.877,2820188.825,947.4671413,1894.934283
-3212293.368,-1333602.311,2453022.643,883.6409669,1767.281934
-3208588.274,-1339346.228,1095426.35,590.4955857,1180.991171
-3228123.22,-1337881.911,1143169.961,603.2265744,1206.453149
-3228497.824,-1325331.114,1377255.74,662.1133724,1324.226745
-3218160.18,-1323481.064,2198818.237,836.6035996,1673.207199
-3245909.945,-1348579.248,3723058.646,1088.616725,2177.23345
-3246643.418,-1346640.29,1191247.901,615.780792,1231.561584
-3216839.111,-1304811.256,813388.6376,508.8316467,1017.663293
-3224834.122,-1304250.484,689573.6646,468.506259,937.0125179
-3051982.375,-1091954.428,8752004.901,1669.086482,3338.172964
-3098600.224,-1092599.96,1906306.062,778.9711583,1557.942317
-3107706.854,-1091133.152,1260645.693,633.4634851,1266.92697
-3097759.81,-1094852.297,650098.0627,454.8984946,909.7969891
-3096559.219,-1099877.42,1041168.424,575.6858541,1151.371708
-3089871.966,-1099425.304,980700.8372,558.7188666,1117.437733
-3063571.24,-1060346.07,752040.2404,489.2666383,978.5332766
-3060641.339,-1060558.46,756702.4011,490.7808627,981.5617253
-3059480.549,-1074108.624,676934.4246,464.1927613,928.3855226
-3069277.085,-1079805.924,4810762.98,1237.462491,2474.924982
-3037528.579,-1067333.542,7769845.195,1572.646985,3145.29397
-3045729.068,-1068142.912,941060.0983,547.3104537,1094.620908
-3037875.641,-1071191.027,1620026.619,718.1020044,1436.204009
-3029627.128,-1061673.177,2303110.168,856.2141877,1712.428375
-3039693.308,-1062922.522,787214.6487,500.5778713,1001.155743
-3039832.033,-1064325.424,985370.5543,560.0474881,1120.094976
-3011776.8,-1094799.699,888816.8524,531.9014863,1063.802973
-3009957.651,-1071126.378,1049725.021,578.046583,1156.093166
-3021407.94,-1075870.28,1114140.273,595.518147,1191.036294
-3065830.775,-1111735.313,4013809.711,1130.325313,2260.650625
-3098275.387,-1106657.932,1053059.721,578.9640057,1157.928011
-3086870.024,-1102804.212,2791546.427,942.6435304,1885.287061
-3089269.235,-1107841.069,1212010.768,621.123989,1242.247978
-3090368.332,-1147844.579,5705832.412,1347.67313,2695.34626
-3084682.208,-1189906.971,2026507.136,803.1545654,1606.309131
-3077139.247,-1198756.343,1402991.195,668.2708789,1336.541758
-3097470.832,-1166333.726,2805479.324,944.9930182,1889.986036
-3077102.734,-1155385.748,2023258.64,802.5105779,1605.021156
-3098782.385,-1151446.896,799141.5956,504.3556982,1008.711396
-3061288.958,-1170427.897,1040575.299,575.5218544,1151.043709
-3055192.694,-1186082.834,3176660.3,1005.565701,2011.131401
-3063125.061,-1180779.687,2622606.119,913.6746988,1827.349398
-3107038.242,-1224200.384,1664144.743,727.814347,1455.628694
-3069946.781,-1227376.895,54519939.31,4165.841533,8331.683066
-3057452.529,-1219965.454,11991574.75,1953.723828,3907.447655
-3059502.526,-1234101.211,20320324.16,2543.257767,5086.515535
-3082435.64,-1201332.504,1623672.865,718.9096779,1437.819356
-3098609.399,-1201442.21,1739692.099,744.1513247,1488.302649
-3066835.792,-1207150.095,3078546.277,989.9150039,1979.830008
-3096649.493,-1231517.122,1845385.168,766.4230834,1532.846167
-3088447.154,-1241598.677,2810166.458,945.7820919,1891.564184
-3089224.721,-1238283.578,811579.3319,508.2654078,1016.530816
-3075666.953,-1241367.241,1249837.083,630.7420231,1261.484046
-3077028.123,-1230768.27,950730.1595,550.1152687,1100.230537
-3082916.898,-1228874.647,1576949.976,708.4904849,1416.98097
-3068939.875,-1246286.277,996725.6952,563.2651619,1126.530324
-3005754.326,-1186613.792,18728236.97,2441.594351,4883.188703
-3008060.186,-1151858.778,10753409.67,1850.112593,3700.225187
-3258217.248,-1002660.82,46174447.8,3833.768801,7667.537603
-3253572.24,-1002036.078,2285688.6,852.9696819,1705.939364
-3255814.232,-999544.3643,3100504.639,993.4391168,1986.878234
-3259920.427,-1009703.633,1060197.688,580.9228911,1161.845782
-3267155.089,-1011937.705,6584791.854,1447.758387,2895.516773
-3256997.256,-1014023.408,1046858.47,577.2567891,1154.513578
-3275027.952,-1005317.669,1062965.982,581.6808238,1163.361648
-3259204.436,-1015465.026,1086722.211,588.1448999,1176.2898
-3261626.718,-1017610.028,963164.8491,553.7010868,1107.402174
-3267805.41,-1018206.963,878207.6347,528.7174787,1057.434957
-3274292.789,-1018799.676,705619.5341,473.9258102,947.8516205
-3269489.508,-1022092.447,973543.3807,556.6762818,1113.352564
-3255082.725,-1017596.072,1022459.359,570.4900721,1140.980144
-3254731.542,-1016773.879,680059.1719,465.2628908,930.5257817
-3295756.591,-1002540.656,1177197.783,612.1386218,1224.277244
-3282842.651,-1003109.803,2308604.659,857.2349074,1714.469815
-3267692.209,-1037465.62,7678917.465,1563.417841,3126.835681
-3274010.923,-1040254.103,2439426.302,881.1886907,1762.377381
-3269812.571,-1041377.965,1545310.209,701.3469303,1402.693861
